,artist,Lyricism,Flexing,Turn-Up,Sex & Romance,words_per_line,unique_words,Unique Word Rate,Syllables Per Line,syllables_per_word,cluster,tsne-2d-one,tsne-2d-two
396,Froggy Fresh,0.028210312499999998,0.0014818749999999997,0.0035678125000000002,0.013560000000000001,35.69294102762159,218.03125,0.07790587002772131,9.339919090505958,0.26144962697296037,Lyrical (Diverse),-0.57727766,2.3949027
397,Frost,0.017318780487804872,7.390243902439023e-05,0.01231097560975609,0.019018536585365866,25.356433243891193,103.7560975609756,0.06824218908805214,6.786981443744964,0.2677177977551719,R&B,8.288606,-16.621828
398,Funkmaster Flex,0.03106538461538462,0.0301676923076923,0.006092307692307692,0.0052830769230769225,35.35637541400069,246.53846153846155,0.10595027900584943,9.27389035094353,0.26267109724231574,Lyrical (Dense),2.357029,13.944208
399,Future,0.018552631578947366,0.031002631578947382,0.03760157894736844,0.011588947368421048,36.859124686329096,209.10526315789474,0.07217502664035454,9.716796832060655,0.2636902168548414,Club & Trap,-16.850513,-9.758138
400,G Herbo,0.02522347826086956,0.0636491304347826,0.0066391304347826075,0.006482608695652175,38.51611639413171,252.91304347826087,0.08574778996570127,10.021633493854212,0.2600976542990815,Archetypal,-14.406748,9.510038
401,G-Eazy,0.02036,0.0044,0.01115,0.02482,26.380165289256198,212.0,0.06641604010025062,7.223140495867769,0.27380952380952384,R&B,10.840927,-10.996277
402,G. Dep,0.025276666666666666,0.02912833333333333,0.009598333333333334,0.008194166666666667,32.80909892907719,279.4166666666667,0.09381021288283077,8.554056865842286,0.26125347950493555,Lyrical (Diverse),-4.6279545,7.4805207
403,GAWVI,0.016168333333333333,0.00022999999999999998,0.02831166666666667,0.042854166666666665,25.088207645138947,117.83333333333333,0.0687358899437043,6.839371173214066,0.2732231607197286,R&B,2.5688844,-20.50508
404,GLC,0.025806000000000003,0.01759,0.014792,0.018718000000000002,34.40836984638039,243.4,0.08688314685955804,9.094808077476909,0.2642701125925144,Lyrical (Diverse),7.735083,0.9634461
405,GZA,0.02291055555555556,0.005285555555555555,0.0003511111111111111,0.0038266666666666666,38.346539860644185,276.6111111111111,0.10730042519719604,10.16512690980949,0.2650495578992987,Lyrical (Dense),7.6862025,13.754517
406,Gangsta Boo,0.015554444444444445,0.04587777777777778,0.0010666666666666665,0.005921111111111111,31.581282847516277,180.77777777777777,0.08643180354141128,8.144698229439323,0.25832945827982273,Archetypal,-12.453049,0.9097956
407,Gary,0.036019333333333334,0.02842133333333333,0.026536000000000004,0.017308,40.29918039150228,275.93333333333334,0.07335847703241412,10.712522264464587,0.2660258951824014,Lyrical (Dense),-2.7893918,17.57014
408,Gee Money,0.02294,0.074695,0.0,0.008045,42.12637362637363,236.5,0.0799374131915995,10.96883116883117,0.26082566443389904,Archetypal,-15.044382,9.910796
409,General Woo,0.013564285714285713,0.03144642857142858,0.0031057142857142854,0.0018449999999999999,29.648457406189127,231.07142857142858,0.09769584924339805,7.721934010866706,0.26206519129044553,Archetypal,-7.7493887,-1.1301157
410,Ghostemane,0.031267727272727266,0.009875454545454543,0.010821363636363636,0.006784999999999999,30.264766179122493,136.13636363636363,0.08834726004847279,8.162998220967493,0.26956082566023326,Lyrical (Diverse),14.277024,-6.004435
411,Ghostface Killah,0.02715,0.02467,0.01594,0.01092,34.03086419753087,441.0,0.07999274442227462,8.95679012345679,0.2631960819880283,Lyrical (Dense),-5.436539,15.921744
412,Gift of Gab,0.025509999999999998,0.001231111111111111,0.004167777777777777,0.004244444444444444,33.31920685019928,236.11111111111111,0.09413990449168232,9.190923976292979,0.27466951593406175,Lyrical (Diverse),13.404994,8.358726
413,Giggs,0.022323750000000003,0.02159791666666667,0.011472916666666668,0.006152083333333332,31.117925320574383,195.375,0.0953958693827971,8.101139562583112,0.2607754626756306,Lyrical (Diverse),-2.3152316,-0.7500074
414,Gilbere Forte,0.027821000000000002,0.017207999999999998,0.003424,0.017229,36.84551479554429,227.55,0.09663916749969109,9.619554976465313,0.2606795818827289,Lyrical (Diverse),1.3599775,3.4807906
415,Glasses Malone,0.025379999999999996,0.032478,0.012510000000000002,0.005997999999999999,31.163601242470342,249.8,0.1049304357812709,8.202050823789552,0.26322441904996735,Lyrical (Diverse),0.20380056,6.3716774
416,GoldLink,0.019992000000000003,0.04308680000000001,0.017885599999999998,0.028180800000000002,33.4180872719653,199.28,0.09095566988563322,8.75194184137153,0.26206962282969604,Archetypal,-3.2243516,-3.0525045
417,Goldie Loc,0.027075000000000002,0.01023,0.017925,0.015145,30.23434065934066,190.0,0.10432409663271339,8.11923076923077,0.2681495886639499,Lyrical (Diverse),8.387788,2.8481035
418,Gorilla Zoe,0.023012857142857144,0.040839999999999994,0.0017328571428571425,0.012289999999999999,29.47534072712917,163.28571428571428,0.08599514249732944,7.81582751569327,0.26466254561127195,Archetypal,-5.511734,-2.556082
419,Grafh,0.018224444444444446,0.03740333333333334,0.004613333333333334,0.008634444444444445,31.769229129534878,236.22222222222223,0.08920707093045832,8.420037131045657,0.26502079084970176,Archetypal,-10.070791,3.543828
420,Grand Puba,0.03207,0.010944,0.018465000000000002,0.014150999999999997,35.54032155362095,240.2,0.0891539591482014,9.396298642387773,0.26429034478978963,Lyrical (Diverse),7.396037,0.22340108
421,Grandmaster Caz,0.033406000000000005,0.003732,0.002191,0.016291000000000003,28.907850975293872,238.0,0.09287679459600455,7.628120557086035,0.2637909987910215,Lyrical (Diverse),11.911601,0.61108226
422,Grandmaster Flash,0.046873000000000005,0.006545,0.003334,0.017317000000000003,30.748485927906376,340.7,0.07540301400087385,8.122372340232744,0.2645544860394109,Lyrical (Diverse),15.000156,3.5472476
423,Greydon Square,0.028516666666666666,0.001951904761904762,0.000610952380952381,0.009815238095238096,37.37994068010728,321.9047619047619,0.09459151378143174,10.0808814378126,0.2694459217514892,Lyrical (Dense),10.029955,13.463307
424,Grieves,0.03418608695652174,0.002192608695652174,0.0043265217391304355,0.02945478260869565,33.48928891931526,200.69565217391303,0.08698063510145553,8.902108923074328,0.2658490317598875,Lyrical (Diverse),12.548752,-1.5802068
425,Gucci Mane,0.017441428571428573,0.03289,0.002791428571428572,0.003841428571428571,33.68767775749483,178.85714285714286,0.10405377705074524,8.751080972422436,0.25955207528990437,Archetypal,-5.6117,-0.09291385
426,Gudda Gudda,0.025119166666666665,0.03476833333333334,0.0092475,0.0077016666666666666,37.10539646846075,240.16666666666666,0.0919217111498198,9.81857824012981,0.26457152209949286,Lyrical (Dense),-7.9011655,9.345937
427,Guerilla Black,0.029785714285714287,0.025412857142857136,0.005185714285714286,0.011897142857142856,31.207326578750358,235.0,0.10048389638031031,8.132417039359384,0.26090389715813467,Lyrical (Diverse),-0.5889486,5.9372277
428,Guilty Simpson,0.03548285714285714,0.006325714285714287,0.015819285714285713,0.005895,25.39771128942773,171.42857142857142,0.10805338796962695,6.67193928591224,0.262561683409784,Lyrical (Diverse),4.7923098,-3.5456297
429,Gunna,0.024797777777777776,0.02634333333333333,0.018887777777777778,0.007786666666666667,35.45504806174704,221.11111111111111,0.07805825236171636,9.412621629180332,0.26516637848984326,Archetypal,-13.753512,-4.2724166
430,Gunplay,0.020376250000000002,0.03254749999999999,0.0007687499999999999,0.00513875,33.105588381535696,184.125,0.09971728889828474,8.583142039706662,0.25896397397960436,Archetypal,-5.6912184,-0.15527771
431,Haitian Jack,0.024651818181818153,0.04453090909090907,0.007343636363636366,0.0049354545454545476,34.07313242685464,295.27272727272725,0.08932041293607493,9.062055111105474,0.26608065807205433,Archetypal,-9.177981,12.618058
432,Half a Mill,0.032646,0.011702499999999998,0.001154,0.022615500000000004,35.31549452711144,265.0,0.09441818000156202,9.28742925111834,0.2628737702149876,Lyrical (Diverse),9.123431,9.122122
433,Hard Kaur,0.024483333333333333,0.004118333333333333,0.0030700000000000002,0.00445,29.86566132946729,228.5,0.10113903796447421,7.9497192235166745,0.2663174468015297,Lyrical (Diverse),8.602514,4.573774
434,Hasan Salaam,0.02554285714285714,0.004355238095238095,0.0012671428571428573,0.008954285714285717,34.64033451841712,254.14285714285714,0.09936080836357071,9.12123554078831,0.2631236082218741,Lyrical (Diverse),7.44614,10.740499
435,Havoc,0.016549473684210524,0.0013605263157894735,0.006113157894736841,0.02091736842105263,23.975537109839618,95.84210526315789,0.07708461367400464,6.320387773626908,0.26368999011399896,R&B,6.8334546,-17.49463
436,Heavy D,0.019933703703703703,0.0,0.00421851851851852,0.014372592592592597,25.030724304499014,116.88888888888889,0.07123043583783079,6.731926372737312,0.2682603728563806,R&B,8.194644,-16.5831
437,Hemlock Ernst,0.02111222222222222,0.0001577777777777778,5.555555555555556e-06,0.008839999999999999,27.583067960087483,233.22222222222223,0.09728556377915168,7.297545300978068,0.2645017512141274,Lyrical (Diverse),8.882952,3.8923626
438,Hi-Tek,0.018552631578947366,0.031002631578947382,0.03760157894736844,0.011588947368421048,36.859124686329096,209.10526315789474,0.07217502664035454,9.716796832060655,0.2636902168548414,Club & Trap,-16.821741,-9.745254
439,Hit-Boy,0.0201,0.00423,0.00274,0.028435000000000002,28.341642228739005,97.0,0.06539343955771845,7.841642228739003,0.27366739436940013,R&B,9.644857,-17.441116
440,Hittman,0.020543333333333334,0.020391666666666666,0.003653333333333333,0.005569999999999999,32.29423205902079,195.83333333333334,0.11444121921850801,8.571875021170795,0.2666678437371056,Lyrical (Diverse),4.9516473,5.5035987
441,Hodgy Beats,0.026997058823529412,0.019912941176470585,0.007484705882352942,0.008657647058823532,34.34856572234852,187.35294117647058,0.10598685669624779,9.225741486991907,0.26838884622429254,Lyrical (Diverse),5.6016965,6.1616306
442,Honey Cocaine,0.017556000000000002,0.043216,0.010088999999999999,0.006079000000000001,31.845832202493654,168.5,0.08695780193946236,8.28985363782211,0.26026192531154263,Archetypal,-12.0994625,0.82141495
443,Hoodie Allen,0.039400243902439035,0.002513170731707317,0.009382682926829268,0.026923170731707323,33.25672002372159,207.1951219512195,0.08880585438591923,8.966306216291024,0.2694653012141245,Lyrical (Diverse),13.607155,-0.69848734
444,Hopsin,0.038896170212765965,0.02769574468085106,0.008239148936170212,0.012110744680851061,38.03833428434633,280.84615384615387,0.08668508615563873,10.070418268364286,0.264706896408638,Lyrical (Dense),-0.7046336,17.384153
445,Hot Dollar,0.029025000000000002,0.008465,0.02901,0.026305,21.78389355742297,191.0,0.10379191650011103,5.750210084033613,0.2638817029781564,R&B,7.096879,-8.207479
446,Hurricane Chris,0.03065249999999999,0.0120425,0.01685125000000001,0.020147499999999992,35.40518281217143,248.125,0.08926474721985851,9.406450472193875,0.2659311324115273,Lyrical (Diverse),7.8733416,0.4388279
447,Hurricane G,0.0237132,0.04337559999999998,0.004560399999999999,0.017394,35.46316330131826,273.4,0.08974600322636739,9.348228990152366,0.26396011858471213,Archetypal,-10.681344,8.231833
