,artist,Lyrical/Misc,Bragging/Combative,Money/Party,Romance/Sex,words_per_line,unique_words,unique_word_rate,syllables_per_line,syllables_per_word,tsne-2d-one,tsne-2d-two,cluster
62,Anotha Level,1.0186449178723633,-0.7267838952097009,0.056683208957354896,-0.8851492036436384,-1.4033360023283092,0.8561734908876194,1.0699858248966883,-1.4263998723016496,-0.25790624432420356,5.1792374,1.5135154,3
63,Ant Banks,-0.6004857649725557,-0.17353879221636662,-0.836969284196825,-0.994675321933982,0.04128298261764199,0.016028331840659375,1.2029755068231478,0.036141268885745474,-0.08197441014479863,-4.12424,6.7456636,3
64,Anthony Parker,0.5341179488020047,-0.9271926919450943,0.7258105896787277,3.0865275993835106,-1.3849958477316777,-1.1264284743947466,0.15751778257779944,-1.2628158437700774,1.1212746394966604,7.350835,-14.706867,4
65,Antoinette,1.4723149760997263,-0.9718361504822637,-0.7596135176394411,-0.6968788173014135,-0.4041604512243495,1.3377629753622367,0.45819580755090095,-0.6121265046244623,-1.506213274971156,-1.5951111,8.109744,3
66,Anybody Killa,0.9892709890760556,-0.8451840957329936,-0.7655441264088404,-0.7221497050571689,-0.08971110434395985,-0.4307992190425215,0.41574937421605856,-0.09028149252604874,-0.1494730358481395,1.7582338,6.3794837,3
67,Apathy,0.8326978734795206,-0.6875058498726864,-0.7945050397129558,-0.9848578547482929,1.091925221691836,0.8138054571017237,1.2502466270602048,1.191027640823297,0.6325639366151761,-3.1320832,14.004317,1
68,Arabian Prince,1.5474980842648005,-0.09287459922085785,-0.37786280967875036,-0.2822953592724191,-0.4147621048125323,-0.033185192120250416,0.41649363279960167,-0.3304880707348644,0.5846716991476717,5.24683,4.9012456,3
69,Arizona Zervas,0.5379818653273188,-0.6371724670141156,2.7693995281342887,0.5050791443909353,-0.1745320310397754,-0.8518482573747499,-1.1489490007363532,-0.3381490090363859,-1.1489713632211616,4.224166,-6.0683594,0
70,Asher Roth,0.8088725548124308,-0.9341785961925833,-0.1297590645548943,0.029078828342920943,0.6625753241533446,0.017109947751888007,1.2295451262405088,0.6716636392914356,-0.040681627087647734,2.8523402,11.365736,3
71,Asian Da Brat,-1.5070367717143667,2.2179690951740407,0.4560968169486476,-0.4595097322215008,0.23545165994882875,-0.32924750293270755,-0.7123692349311495,0.05604004965749513,-1.1318128222298516,-9.276514,-6.2159734,2
72,Astronautalis,-0.40545940206877995,-0.8221901648561131,-0.8038469514254362,-0.2634971408543667,-0.40024912425939724,-0.24729597818394874,0.7505157324071725,-0.5580104718718206,-1.092288863091525,-0.39676338,-10.331287,3
73,Awkwafina,-1.0360510030624477,-0.37400719303525415,-0.15916700679723148,-0.7336943192477476,-1.0048254664444616,-0.8477192315549,0.600899220470685,-1.0054007705624701,0.09871353195536461,0.4652744,-11.7950535,3
74,Azealia Banks,-1.4119735409197578,1.3115724465478422,-0.4950567960131873,0.7181454530625703,-1.09024049251843,-0.35799445026225496,0.599466686592114,-1.0973930848485693,-0.1979172359713688,-5.006873,-8.38853,2
75,B-Legit,-1.3623719931071527,0.5541078590810505,-0.3282413606017931,-0.2723696111986525,0.16154940395905554,0.18558753204211334,-0.29575166697501826,0.11678391199012031,-0.2627276390323252,-4.076681,-2.1571786,2
76,B-Real,0.23192458412861225,-0.1611466236848332,0.4399610264474974,0.9490421252694407,-0.26353479706732047,-0.09015651296169788,0.23072689684116263,-0.1413761524027562,0.8960900169589618,8.563647,0.0015865958,3
77,B.G.,-0.0937140652018908,1.6927246660711033,-0.7209356343607489,-0.3767203040792202,0.6000756203539105,0.7975859623627265,0.236200512750163,0.6111556563199066,0.08830533451762607,-9.863908,1.8134631,2
78,B.o.B,1.8170198672452798,-0.4797742712693032,0.439143011444821,0.5264866770041731,0.8457533207107683,0.7586578045206318,-0.14880740099266934,1.0245101185838776,1.1078710645586305,6.466931,13.7982645,1
79,BJ the Chicago Kid,-1.2614603869189276,-0.8644693280813451,-0.28716317339021746,3.0975722499674108,-1.229746256765744,-1.0490929367418882,-0.012567513446520176,-1.2427007139418078,-0.02727719525198369,7.592573,-14.179023,4
80,Baby Bash,0.05799091657223969,-0.6541490345284576,0.021782865612215166,0.5331952795810614,-1.1198230909642317,-0.2867520155759856,-0.1605407448722917,-1.1020543663746691,0.10077859051813026,3.7794976,-10.134081,4
81,Baby Boy da Prince,0.9126457148839272,-0.6074565200542759,-0.7302183263476351,-0.32790567557259964,0.453450314055072,0.34411849158005814,-0.3982465347558147,0.3457909691961032,-0.7129647850012593,2.9533923,4.1864038,3
82,Baby D,-0.24823871365000336,0.4563618369806108,0.04347584940248388,0.23106433110278535,-0.22227777785715777,-0.4330967691807526,-0.7451744032177072,-0.21496892347163232,0.0020443727086644457,5.4281526,-8.252289,2
83,Bad Azz,-0.5889756474358835,0.7284630486535265,-0.6536361174558248,0.03418160375514093,-0.36177917751223115,-0.44915664464698807,0.030589580016986168,-0.3624466792091472,0.11030341941819323,-4.9663825,-2.8263383,2
84,Baeza,0.645055890166105,-0.29703845321638694,-0.7588399599738672,2.320356097767027,-0.8273434941472552,-0.6940525138810391,-1.6240068412191713,-0.990929839038417,-1.3139083679782129,10.334657,-8.6773,4
85,Bahamadia,-0.12202872110770796,-0.9929757320948799,-0.871779379147648,-0.19069488419165964,0.9438579822623075,0.4217888151102014,1.4072832931453365,1.493945091185349,3.321602243792863,0.14732125,12.961349,1
86,Baka Not Nice,-1.3695748201013156,-0.22409707950969762,3.0825108970895507,-0.9749441378843129,-0.557952053113916,-1.2858554784866014,-1.6489975841480038,-0.7630363236168359,-1.5115142096796417,5.3703194,-4.5943546,0
87,Bankroll Fresh,-1.9126391641532372,2.6574035120731385,-0.21167683785797012,-0.7323307821386242,-0.1732342714417923,-0.783105557238876,0.5714788719047228,-0.3808991194451664,-1.373370415392105,-8.799315,-5.6904497,2
88,Bas,-1.1773957128815835,-1.1080937344204242,-0.7518779409837026,2.726253824410904,-1.9489262013939301,-1.4153821650795169,-1.3160132627698005,-1.7260989119511854,2.0490771126000924,7.5646524,-16.459175,4
89,Battlecat,-0.8866332732837845,0.5351934965855509,0.15662256180690867,-0.4744404635664031,0.14752831562361887,0.3456808256740553,-0.7158173941733221,0.18254344590594557,0.2801016040591888,-3.6039429,-1.7976663,2
90,Beanie Sigel,0.6391783833388681,1.5187403463514795,0.34657394413115195,-0.3814926839611524,1.1339879402080415,2.016206555680493,-0.08161404811134726,0.865427704615708,-1.530026692282382,-11.035065,7.48789,2
91,Becky G,-0.8272595700567872,-0.5133019361612424,-0.8464453656001047,-0.6193617326477437,-0.26427231050905614,-0.12106648490758934,0.07412549655078778,-0.22352948523091118,0.020627951873664663,-0.07601506,-8.447884,3
92,Benny Blanco,-0.0959997623013719,-1.1359460603696783,1.0566998811279382,4.116134470482652,-0.5667770739516697,-0.8557540926097427,-1.4378786317756622,-0.4553500747172546,0.8025828635613782,9.384793,-14.656421,4
93,Benzino,0.0145049013158489,0.5468545006127543,-0.4766104209110419,-0.20512440326952674,0.3054694597185456,0.6541817194656431,0.6777209974194199,0.24906094923887537,-0.3799127079308974,-6.4197025,2.6044137,2
94,Bhad Bhabie,-1.0853188541901655,1.1230511875646754,0.10914008815408126,-0.7728363563865236,0.4590350320777718,-0.6786732876432547,-1.0555635965381096,0.2732441992112447,-1.1034816253287705,-7.4413376,-6.565406,2
95,Bia,-1.7132937242627793,-1.1220384408876938,-0.8578553411673189,-1.0061290336506195,-3.132201542358965,-1.5166214143705312,0.4235490208384323,-2.516258403999719,7.554505902258736,3.4949052,-20.194319,4
96,Big Bank Hank,0.5053951326998517,-1.0770373578495591,-0.7302735804666046,-0.8446667608288403,0.899362383632286,0.5684250293610753,0.4171343847879363,0.9946706203870624,0.5622089265489021,-0.026248762,13.497056,1
97,Big Boi,-0.46701738077071375,-0.9002814482474547,-0.1936593905639793,0.3859060010535431,-0.5999690849134144,-0.39174086669259317,-0.5121975730396979,-0.5810183337254538,0.1406782677237953,5.0453625,-9.735075,4
98,Big Daddy Kane,1.2835565837634588,-0.9560456532857955,-0.7371208409019862,0.037417382202560745,0.31047142541046185,0.8391380402857661,0.8468429464129409,0.4405121676816846,0.8779906085928163,4.067169,12.381685,1
99,Big Ed,-0.01730647644780895,0.10924947058398035,-0.871779379147648,-0.10264934514540047,-0.00739969499406054,-0.35424484843666204,0.637817784341716,-0.0022151676073767883,0.2556977596736528,0.0730803,3.2798238,3
100,Big Gipp,0.9061151517425527,-1.1359460603696783,-0.8168567848919052,0.9270938796646528,0.12059455114535166,-0.5182899283063612,1.418277146942654,0.25320699611109776,0.8859110095653936,8.7572155,4.7583675,3
101,Big Hawk,0.4878325825375129,-0.4244322476713629,-0.6985024620591076,-0.9144993399175213,-0.02168403276536783,0.6206516262175511,-0.9205384314167994,-0.022634169465978446,-0.005152625865983613,2.3698075,7.326053,3
102,Big K.R.I.T.,0.08769046650295807,-0.14306565264028545,-0.14007977836652438,-0.13773770008684455,0.28570947593595364,-0.02303002050926894,0.325933572381771,0.13818942137225876,-0.9610179849037312,-0.16405188,1.6580511,3
103,Big Kuntry King,-0.10243703168358477,0.9068845612554972,0.19639324877188777,-0.04594568050742261,0.62736552592269,-0.3354968393086963,-0.5983119625407098,0.524152148441516,-0.5615545605263798,-0.13072214,-1.8378063,2
104,Big L,2.389891750278556,0.6063448778553834,-0.29872786049054634,-1.0206916099760581,1.4728548900687097,2.9646214674414546,0.6393500928972723,1.4480540627523697,-0.08720101340813723,-7.129541,17.688221,1
105,Big Lurch,0.42195552684889714,-0.22833481297538463,-0.8050600304919041,-1.1478687161440053,0.6924146453423219,0.7050176672933964,-0.2128746498263276,1.0259144853532811,1.8807788581950027,1.2807208,14.649101,1
106,Big Mello,2.4362260957666093,1.590086434294059,0.26051565383606196,0.506169974078234,1.691657587543863,1.422129016438082,-0.8356539155787087,1.7996571123939384,0.6401989109398261,-9.206815,13.17916,1
107,Big Mike,-0.35726893483593486,1.6848370590220345,-0.319127681214108,-0.20495358653277942,1.0816917619683943,0.7793401320506887,-0.0851099622869597,0.9898698312674464,-0.4606035393872309,-11.621861,1.2259759,2
108,Big Moe,0.3429431339327435,-0.4110303598069052,-0.395408504002448,0.18661885465919556,-0.11036509746751468,0.6564432800073039,-0.04188257402098657,-0.2515839223844736,-0.9623880517675307,2.272891,2.4152343,3
109,Big Noyd,-0.13028521879358826,1.7815943545609823,-0.3757355260984223,-0.5868413725951487,-0.09231152538090572,1.453766281841524,0.8488924574918838,-0.23975618573392316,-0.880060371030533,-10.276537,-2.1278558,2
110,Big Pokey,1.5472531881469993,-0.2519777660947578,-0.6060623210230335,-1.0204461732964158,-0.00954859880491504,0.1847604139923501,1.3385419566544596,-0.07141002765611118,-0.47114096583138426,-0.9591383,7.197337,3
111,Big Pooh,0.6349101938571842,-0.17417456910697163,-0.35106456197851377,-0.2258741416070453,0.02356318241194458,-0.05226798712550121,0.8196417014630463,0.012734272830831745,-0.0390786965119545,-0.456445,5.0322084,3
112,Big Pun,0.8892173196142462,-0.21081121242808448,-0.7648350318820645,-1.119541232701965,1.634437971092051,1.7631084324529571,0.9261677143302097,1.7484555153124322,0.778030096651644,-5.1933208,15.568973,1
113,Big Scoob,0.5192518474287928,0.286113182633392,-0.7043184696928664,-0.7747216358200409,0.48715798302928903,0.5404518093923649,-0.24196242039865773,0.4198480285297765,-0.4354609089834349,-5.3954697,2.564389,3
114,Big Sean,0.8487604809534312,-0.010402415692691439,-0.04411135486691665,0.40517278040545757,0.6887570480040123,0.749309838858215,-0.16812134043281562,0.6984776423990104,0.04885294467310142,6.9880576,9.032695,1
115,Big Shaq,-0.5644370564321681,-0.9412393876218984,1.1188165616735175,0.03165906010326242,-1.4133156190608587,0.02868323800203626,0.004372836651894784,-1.6114896556075986,-1.690244929511239,-1.145389,-9.742891,4
116,Big Shug,1.130367433836086,-0.7187998914330062,-0.7201907269790851,-0.687273455888255,0.8084491975626522,0.7003306650114053,0.9885572715128983,0.8206254063787073,0.12540413881271106,-2.2227447,13.28288,1
117,Big Smo,0.004353224637750148,-0.8291130687760341,-0.27889040391116393,-0.4518966500288948,0.7109651315805479,-0.11989473433709134,-0.4700220037904138,0.6463364915247483,-0.3050320587654691,3.508596,4.507327,3
118,Big Syke,0.09323814690891048,1.341329694923112,-0.30370675891987603,-0.7921528738534415,0.29641250214168585,1.2009877269513962,0.20337526931735828,0.36570108999187856,0.4808594304074053,-9.833653,3.437307,2
119,Billy Woods,0.35534378280687606,-0.7186247584469367,-0.6199218958645649,-0.6524956843994445,0.7572571015016538,0.5327703334302122,1.9195277457607467,0.810957435035435,0.29511566902696956,-2.665882,11.538553,1
120,Birdman,-0.9547035097607116,1.424669208175338,-0.06472666665445946,-0.82139702610657,-0.22012377626091711,0.0666479564861665,-0.16687153287392037,-0.2231188290076543,0.13600774024006088,-8.041552,-2.6153016,2
121,Bishop Nehru,1.5004348126849383,-0.5606941947842627,-0.31024476902917814,-0.6227665650172906,0.31414658467044265,-0.32267650953736693,0.7213527657635035,0.3445825676937772,0.1873658501211772,2.169944,6.5465736,3
122,Biz Markie,0.506509993121844,-0.7960067532446973,-0.3099702318968863,-0.2526929686333483,-0.12363925971286867,0.43504633585069147,0.593308469716672,0.041926134243314005,1.2349585616978327,1.4362228,11.190948,3
123,Bizzy,1.4063562883718435,-1.1359460603696783,-0.7420795438864339,1.4965069764346184,-0.2059874249809412,-0.18082576400297978,-0.07624147687868686,-0.06806872089797525,0.8691920143968511,8.996897,5.7036033,3
124,Bizzy Bone,0.8968467755919101,-0.9558744825844787,0.07755438981889527,1.3261487477701293,-0.2519203623163644,-0.23285148933308428,-0.3411035358432935,-0.14361632568037566,0.6917336900098746,9.976749,-5.2543187,3
125,Blac Youngsta,-1.8288846918651087,0.08069249191430593,-0.5669976589115545,0.01816004272294008,-1.09345459740937,-0.5323509351523354,-1.988921858151798,-0.8023654830432896,2.3032143503467677,2.2522912,-19.19064,4
126,Black Milk,-0.622493762758988,-1.075716796266365,-0.5128486223213856,0.6556954534647152,-1.6103581072069864,-1.129475025878041,0.3328001844948465,-1.6097830140084575,-0.49750882441990046,1.7059059,-13.908483,4
127,Black Rob,1.1372970869472119,0.24758392569811713,-0.7209356343607489,-1.0740331816849686,0.3182568787510632,0.5362855851417058,-0.007368146840825019,0.20527394110917957,-0.7165046508189448,-5.174702,3.6841927,3
128,Black Thought,2.4388383210231597,-0.7322542255392814,-0.8006120739148546,-1.195933399240608,1.7382558440436795,4.2390173879149184,1.33099636480789,2.329521811906389,3.275102170654712,-6.3609953,16.86427,1
